"","X.1","X","id","stationid","stationname","sampledate","sampletime","parameter","qualifier","result","unit","method","type","county","description","beachname","latitude","longitude","createdate","sourcefile","date","month"
"25",109,109,282,282,"DPH-001","2024-04-23","10:30:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-24 16:25:12","DPH_001.csv","2024-04-24 16:25:12",4
"26",110,110,282,282,"DPH-001","2024-04-23","10:30:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-24 16:25:12","DPH_001.csv","2024-04-24 16:25:12",4
"27",111,111,282,282,"DPH-001","2024-04-23","10:30:00","Total Coliforms","=",31,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-24 16:25:12","DPH_001.csv","2024-04-24 16:25:12",4
"28",112,112,282,282,"DPH-001","2024-04-16","10:40:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-17 13:33:46","DPH_001.csv","2024-04-17 13:33:46",4
"29",113,113,282,282,"DPH-001","2024-04-16","10:40:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-17 13:33:45","DPH_001.csv","2024-04-17 13:33:45",4
"30",114,114,282,282,"DPH-001","2024-04-16","10:40:00","Total Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-17 13:33:45","DPH_001.csv","2024-04-17 13:33:45",4
"31",115,115,282,282,"DPH-001","2024-04-09","10:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-10 17:18:37","DPH_001.csv","2024-04-10 17:18:37",4
"32",116,116,282,282,"DPH-001","2024-04-09","10:15:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-10 17:18:37","DPH_001.csv","2024-04-10 17:18:37",4
"33",117,117,282,282,"DPH-001","2024-04-09","10:15:00","Total Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-10 17:18:36","DPH_001.csv","2024-04-10 17:18:36",4
"34",118,118,282,282,"DPH-001","2024-04-02","12:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-04 15:50:22","DPH_001.csv","2024-04-04 15:50:22",4
"35",119,119,282,282,"DPH-001","2024-04-02","12:15:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-04 15:50:22","DPH_001.csv","2024-04-04 15:50:22",4
"36",120,120,282,282,"DPH-001","2024-04-02","12:15:00","Total Coliforms","=",63,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-04-04 15:50:22","DPH_001.csv","2024-04-04 15:50:22",4
"37",121,121,282,282,"DPH-001","2024-03-26","10:20:00","Enterococcus","=",10,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-27 14:31:19","DPH_001.csv","2024-03-27 14:31:19",3
"38",122,122,282,282,"DPH-001","2024-03-26","10:20:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-27 14:31:19","DPH_001.csv","2024-03-27 14:31:19",3
"39",123,123,282,282,"DPH-001","2024-03-26","10:20:00","Total Coliforms","=",213,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-27 14:31:19","DPH_001.csv","2024-03-27 14:31:19",3
"40",124,124,282,282,"DPH-001","2024-03-19","10:10:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-21 14:42:40","DPH_001.csv","2024-03-21 14:42:40",3
"41",125,125,282,282,"DPH-001","2024-03-19","10:10:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-21 14:42:40","DPH_001.csv","2024-03-21 14:42:40",3
"42",126,126,282,282,"DPH-001","2024-03-19","10:10:00","Total Coliforms","=",31,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-21 14:42:40","DPH_001.csv","2024-03-21 14:42:40",3
"43",127,127,282,282,"DPH-001","2024-03-12","10:20:00","Enterococcus","=",10,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-13 16:59:35","DPH_001.csv","2024-03-13 16:59:35",3
"44",128,128,282,282,"DPH-001","2024-03-12","10:20:00","Fecal Coliforms","=",97,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-13 16:59:34","DPH_001.csv","2024-03-13 16:59:34",3
"45",129,129,282,282,"DPH-001","2024-03-12","10:20:00","Total Coliforms","=",109,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-03-13 16:59:34","DPH_001.csv","2024-03-13 16:59:34",3
"46",130,130,282,282,"DPH-001","2024-02-13","09:55:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-02-14 16:24:57","DPH_001.csv","2024-02-14 16:24:57",2
"47",131,131,282,282,"DPH-001","2024-02-13","09:55:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-02-14 16:24:56","DPH_001.csv","2024-02-14 16:24:56",2
"48",132,132,282,282,"DPH-001","2024-02-13","09:55:00","Total Coliforms","=",158,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-02-14 16:24:56","DPH_001.csv","2024-02-14 16:24:56",2
"49",133,133,282,282,"DPH-001","2024-01-30","10:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-31 12:43:55","DPH_001.csv","2024-01-31 12:43:55",1
"50",134,134,282,282,"DPH-001","2024-01-30","10:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-31 12:43:55","DPH_001.csv","2024-01-31 12:43:55",1
"51",135,135,282,282,"DPH-001","2024-01-30","10:15:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-31 12:43:54","DPH_001.csv","2024-01-31 12:43:54",1
"52",136,136,282,282,"DPH-001","2024-01-16","10:20:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-18 15:32:18","DPH_001.csv","2024-01-18 15:32:18",1
"53",137,137,282,282,"DPH-001","2024-01-16","10:20:00","Total Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-18 15:32:18","DPH_001.csv","2024-01-18 15:32:18",1
"54",138,138,282,282,"DPH-001","2024-01-02","10:10:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-03 14:52:43","DPH_001.csv","2024-01-03 14:52:43",1
"55",139,139,282,282,"DPH-001","2024-01-02","10:10:00","Fecal Coliforms","=",63,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-03 14:52:43","DPH_001.csv","2024-01-03 14:52:43",1
"56",140,140,282,282,"DPH-001","2024-01-02","10:10:00","Total Coliforms","=",134,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-03 14:52:43","DPH_001.csv","2024-01-03 14:52:43",1
"57",141,141,282,282,"DPH-001","2023-12-26","10:20:00","Enterococcus","=",41,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-03 10:10:27","DPH_001.csv","2024-01-03 10:10:27",12
"58",142,142,282,282,"DPH-001","2023-12-26","10:20:00","Fecal Coliforms","=",31,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-03 10:10:27","DPH_001.csv","2024-01-03 10:10:27",12
"59",143,143,282,282,"DPH-001","2023-12-26","10:20:00","Total Coliforms","=",1119,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2024-01-03 10:10:27","DPH_001.csv","2024-01-03 10:10:27",12
"60",144,144,282,282,"DPH-001","2023-12-19","10:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-12-20 13:11:06","DPH_001.csv","2023-12-20 13:11:06",12
"61",145,145,282,282,"DPH-001","2023-12-19","10:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-12-20 13:11:06","DPH_001.csv","2023-12-20 13:11:06",12
"62",146,146,282,282,"DPH-001","2023-12-19","10:15:00","Total Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-12-20 13:11:06","DPH_001.csv","2023-12-20 13:11:06",12
"63",147,147,282,282,"DPH-001","2023-12-05","10:05:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-12-06 15:26:37","DPH_001.csv","2023-12-06 15:26:37",12
"64",148,148,282,282,"DPH-001","2023-12-05","10:05:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-12-06 15:26:37","DPH_001.csv","2023-12-06 15:26:37",12
"65",149,149,282,282,"DPH-001","2023-12-05","10:05:00","Total Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-12-06 15:26:37","DPH_001.csv","2023-12-06 15:26:37",12
"66",150,150,282,282,"DPH-001","2023-11-21","10:05:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-22 17:08:52","DPH_001.csv","2023-11-22 17:08:52",11
"67",151,151,282,282,"DPH-001","2023-11-21","10:05:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-22 17:08:52","DPH_001.csv","2023-11-22 17:08:52",11
"68",152,152,282,282,"DPH-001","2023-11-21","10:05:00","Total Coliforms","=",31,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-22 17:08:52","DPH_001.csv","2023-11-22 17:08:52",11
"69",153,153,282,282,"DPH-001","2023-11-14","10:00:00","Enterococcus","=",10,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-15 13:42:13","DPH_001.csv","2023-11-15 13:42:13",11
"70",154,154,282,282,"DPH-001","2023-11-14","10:00:00","Fecal Coliforms","=",75,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-15 13:42:13","DPH_001.csv","2023-11-15 13:42:13",11
"71",155,155,282,282,"DPH-001","2023-11-14","10:00:00","Total Coliforms","=",250,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-15 13:42:13","DPH_001.csv","2023-11-15 13:42:13",11
"72",156,156,282,282,"DPH-001","2023-11-08","10:15:00","Enterococcus","=",20,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-08 13:19:54","DPH_001.csv","2023-11-08 13:19:54",11
"73",157,157,282,282,"DPH-001","2023-11-08","10:15:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-08 13:19:54","DPH_001.csv","2023-11-08 13:19:54",11
"74",158,158,282,282,"DPH-001","2023-11-08","10:15:00","Total Coliforms","=",30,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-11-08 13:19:54","DPH_001.csv","2023-11-08 13:19:54",11
"75",201,201,282,282,"DPH-001","2023-04-25","10:50:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-04-26 15:48:52","DPH_001.csv","2023-04-26 15:48:52",4
"76",202,202,282,282,"DPH-001","2023-04-25","10:50:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-04-26 15:48:52","DPH_001.csv","2023-04-26 15:48:52",4
"77",203,203,282,282,"DPH-001","2023-04-25","10:50:00","Total Coliforms","=",97,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-04-26 15:48:52","DPH_001.csv","2023-04-26 15:48:52",4
"78",204,204,282,282,"DPH-001","2023-04-04","10:10:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-04-06 15:02:38","DPH_001.csv","2023-04-06 15:02:38",4
"79",205,205,282,282,"DPH-001","2023-04-04","10:10:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-04-06 15:02:38","DPH_001.csv","2023-04-06 15:02:38",4
"80",206,206,282,282,"DPH-001","2023-04-04","10:10:00","Total Coliforms","=",295,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-04-06 15:02:38","DPH_001.csv","2023-04-06 15:02:38",4
"81",207,207,282,282,"DPH-001","2023-02-21","11:45:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-02-22 13:56:39","DPH_001.csv","2023-02-22 13:56:39",2
"82",208,208,282,282,"DPH-001","2023-02-21","11:45:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-02-22 13:56:39","DPH_001.csv","2023-02-22 13:56:39",2
"83",209,209,282,282,"DPH-001","2023-02-21","11:45:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-02-22 13:56:39","DPH_001.csv","2023-02-22 13:56:39",2
"84",210,210,282,282,"DPH-001","2023-02-14","10:40:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-02-22 13:56:01","DPH_001.csv","2023-02-22 13:56:01",2
"85",211,211,282,282,"DPH-001","2023-02-14","10:40:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-02-22 13:56:01","DPH_001.csv","2023-02-22 13:56:01",2
"86",212,212,282,282,"DPH-001","2023-02-14","10:40:00","Total Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2023-02-22 13:56:01","DPH_001.csv","2023-02-22 13:56:01",2
"87",213,213,282,282,"DPH-001","2022-11-29","10:10:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-12-01 16:34:07","DPH_001.csv","2022-12-01 16:34:07",11
"88",214,214,282,282,"DPH-001","2022-11-29","10:10:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-12-01 16:34:07","DPH_001.csv","2022-12-01 16:34:07",11
"89",215,215,282,282,"DPH-001","2022-11-29","10:10:00","Total Coliforms","=",31,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-12-01 16:34:07","DPH_001.csv","2022-12-01 16:34:07",11
"90",216,216,282,282,"DPH-001","2022-11-22","11:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-28 16:46:44","DPH_001.csv","2022-11-28 16:46:44",11
"91",217,217,282,282,"DPH-001","2022-11-22","11:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-28 16:46:44","DPH_001.csv","2022-11-28 16:46:44",11
"92",218,218,282,282,"DPH-001","2022-11-22","11:15:00","Total Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-28 16:46:44","DPH_001.csv","2022-11-28 16:46:44",11
"93",219,219,282,282,"DPH-001","2022-11-15","10:10:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-22 11:19:22","DPH_001.csv","2022-11-22 11:19:22",11
"94",220,220,282,282,"DPH-001","2022-11-15","10:10:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-22 11:19:22","DPH_001.csv","2022-11-22 11:19:22",11
"95",221,221,282,282,"DPH-001","2022-11-15","10:10:00","Total Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-22 11:19:22","DPH_001.csv","2022-11-22 11:19:22",11
"96",222,222,282,282,"DPH-001","2022-11-01","10:30:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-03 09:58:27","DPH_001.csv","2022-11-03 09:58:27",11
"97",223,223,282,282,"DPH-001","2022-11-01","10:30:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-03 09:58:27","DPH_001.csv","2022-11-03 09:58:27",11
"98",224,224,282,282,"DPH-001","2022-11-01","10:30:00","Total Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-11-03 09:58:27","DPH_001.csv","2022-11-03 09:58:27",11
"99",270,270,282,282,"DPH-001","2022-04-19","10:10:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-04-20 14:54:27","DPH_001.csv","2022-04-20 14:54:27",4
"100",271,271,282,282,"DPH-001","2022-04-19","10:10:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-04-20 14:54:27","DPH_001.csv","2022-04-20 14:54:27",4
"101",272,272,282,282,"DPH-001","2022-04-19","10:10:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-04-20 14:54:27","DPH_001.csv","2022-04-20 14:54:27",4
"102",273,273,282,282,"DPH-001","2022-04-05","10:20:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Big Rock Beach","Malibu Beach",34.0367,-118.61012,"2022-04-06 13:14:53","DPH_001.csv","2022-04-06 13:14:53",4
